"Year","Month","Day","End Year","End Month","End Day","Headline","Headline Arabic","Text","Text Arabic","Agreement","Stage","Event"
2015,5,11,2015,5,11,"Saleh and Houthis declare alliance officially","صالح والحوثيين يعلنون تحالفهم رسميا","Even though Saleh had provided Houthis with everything they needed to capture Sanaa, it was on this day that their alliance was declared officially. ","على الرغم من أن صالح قد زود الحوثيين بكل ما يحتاجونه للاستيلاء على صنعاء ، أنه في هذا اليوم تم إعلان تحالفهم رسميًا.",,,"conflict"
2015,5,12,2015,5,12,"5-day ceasefire agreed","اتفاق وقف إطلاق النار لمدة خمسة أيام","5-day ceasefire agreed to by both parties. Humanitarian supplies arrive in Hodeidah","وافق الطرفان على اتفاق وقف إطلاق النار لمدة خمسة أيام وتصل الإمدادات الإنسانية إلى الحديدة.",,,"conflict"
2015,5,17,2015,5,17,"Riyadh Conference held for pro-government coalitionsعقد مؤتمر الرياض للتحالفات المؤيدة للحكومة","يبدأ مؤتمر السلام في الرياض بدون حضور الحوثيين","The conference is attended by delegates from the GPC, Islah and YSP, but without Ansar Allah. The goal was to isolate the Houthis and restore the federal state of Yemen and the NDC outcomes. ","حضر المؤتمر مندوبون من المؤتمر الشعبي العام والإصلاح والحزب الاشتراكي اليمني ولكن بدون حضور من أنصار الله. كان الهدف هو عزل الحوثيين واستعادة الدولة الفيدرالية في اليمن و مخرجات الحوار الوطني",,,"conflict"
2015,6,15,2015,6,15,"Geneva I talks begin","تبدأ محادثات جنيف الأولى","Preliminary Inclusive Consultations between Ansar Allah and the Yemeni government begin in Geneva. This was after they were postponed from the 28th of May. ","تبدأ في جنيف مشاورات أولية شاملة بين أنصار الله والحكومة اليمنية. كان هذا بعد أن تم تأجيل المحادثات من 28 مايو.",,,"conflict"
2015,9,4,2015,9,4,"Dozens killed at Marib base by Houthi/Saleh missile","مقتل العشرات بصاروخ حوثي/حرس جمهوري في قاعدة عسكرية في مأرب ","Missile kills 67 coalition troops and dozens of Hadi loyalists in an attack on an Arab Coalition base in Marib governorate.","يقتل صاروخ  67 من قوات التحالف وعشرات من المقاتلين الموالين لهادي في هجوم على قاعدة للتحالف العربي في محافظة مأرب.",,,"conflict"
2015,10,19,2015,10,19,"Seven Point Peace Plan (Muscat Principles)","خطة مكونة من سبع نقاط للسلام (مبادئ مسقط)","English:  https://www.peaceagreements.org/masterdocument/1734","بالإنجليزي: https://www.peaceagreements.org/masterdocument/1734","national","Prenegotiation",
2015,10,26,2015,10,26,"Sadaa hospital destroyed in airstrike","تدمير مستشفى في صعدة جراء غارة جوية ","MSF report the destruction of an MSF-run hospital in Sadaa from an airstrike","أفادت منظمة أطباء بلا حدود عن تدمير مستشفى تابع لها في صعدة من غارة جوية",,,"political"
2015,12,6,2015,12,6,"Governor of Aden killed by Islamic State","مقتل محافظ عدن على يد الدولة الإسلامية","Governor of Aden and 6 bodyguards killed in car bombing claimed by the Islamic State. Aydrus Zubaydi is appointed as successor.","مقتل محافظ عدن وستة من مرافقيه تفجير سيارة تبناه تنظيم الدولة الإسلامية وتم تعيين عيدروس الزبيدي خلفا له",,,"conflict"
2015,12,15,2015,12,15,"Geneva II begins","بدء الجولة الثانية من المفاوضات في جنيف","A second round of negotiations is scheduled to begin between Ansar Allah and the Yemeni Government in Geneva, but is delayed and talks eventually breakdown following ceasefire violations from both sides.","من المقرر أن تبدأ جولة ثانية من المفاوضات في جنيف بين أنصار الله والحكومة اليمنية ولكنها تتأخر وفي النهاية تنهار بعد انتهاكات لوقف إطلاق النار من كلا الجانبين.",,,"conflict"
2016,2,29,2016,2,29,"Agreement to Solve the Problem regarding al-Maashiq Palace",,"https://www.peaceagreements.org/masterdocument/2007 ",,"local","Prenegotiation",
2016,3,4,2016,3,4,"Islamic State claim attack on charity in Aden","تتبنى الدولة الإسلامية هجوم على جمعية خيرية في عدن","16 killed in an attack on the Missionaries of Charity in Aden","مقتل 16 في هجوم على جمعية المحسنين في عدن",,,"conflict"
2016,3,6,2016,3,6,"Local mediators establish prisoner exchange and border truce","وسطاء محليون يصلون إلى اتفاق لتبادل الأسرى والهدنة على الحدود","A 'border calm' is negotiated by local mediators to ending fighting on the Sadaa-Saudi border in addition to a prisoner exchange.","يتم التفاوض على التهدئة على الحدود من قبل وسطاء محليين لإنهاء القتال على حدود بين محافظة صعدة والسعودية بالإضافة إلى تبادل الأسرى",,,"conflict"
2016,4,2,2016,4,2,"Dhahran Al-Janoub tribal mediation for a ceasfire in Hajjah","تحكيم قبلي لوقف إطلاق النار في حجة بظهران الجنوب","Ceasefire Agreement in the Governorate of al-Hajjah between Ansar Allah and the internationally recoganized Government of Yemen, signed in Dhahran al-Janoub and mediated by local tribes","اتفاقية وقف إطلاق النار في محافظة حجة بين أنصار الله والحكومة اليمنية المعترف بها دولياً ، الموقعة في ظهران الجنوب وبواسطة القبائل المحلية","local","Ceasefire",
2016,4,3,2016,4,3,"Ali Mohsin al-Ahmar appointed as Vice President","تم تعيين علي محسن الأحمر نائباً للرئيس","Hadi appoints Ali Mohsen al-Ahmar as Vice President, replacing Khalid Bahah","يعين هادي علي محسن الأحمر نائبًا له ليحل محل خالد بحاح",,,"political"
2016,4,4,2016,4,4,"Hajjah ceasefire","وقف إطلاق النار في حجة","A ceasefire is negotiated for Hajjah signed in Dahran al-Janoub","يتم التفاوض على وقف إطلاق النار في حجة في اتفاقية وقعت في ظهران الجنوب",,,"political"
2016,4,4,2016,4,4,"Ceasefire Implementation Agreement for the Governorate of Hajjah, signed in Dhahran al-Janoub",,"Ceasefire Agreement",,"local","Ceasefire",
2016,4,10,2016,4,10,"Dharan al-Janoub ceasefires signed for 5 governorates","توقع اتفاقيات ظهران الجنوب لخمسة محافظات","A series of 5 other governorate-level ceasefires are signed in Dharan al-Janoub for Jawf, Baydah, Lahj, Marib, and Taiz. Ceasefires for Marib and Taiz are amended to better fit local conditions.","تم التوقيع على سلسلة من اتفاقيات وقف إطلاق النار على مستوى خمس محافظات أخرى في ظهران الجنوب وهي: الجوف والبيضاء ولحج ومأرب وتعز ويتم تعديل اتفاقيات وقف إطلاق النار لمحافظتي مأرب وتعز لتناسب الظروف المحلية.",,,"conflict"
2016,4,10,2016,4,10,"Dhalea Ceasefire",,"https://www.peaceagreements.org/masterdocument/2009 ","https://www.peaceagreements.org/document/2662","local","Ceasefire",
2016,4,10,2016,4,10,"Dhahran al-Janoub Agreements on the Cessation of Hostilities in Yemen for Shabwah, al-Dhali'a, al-Baydah, al-Jawf, Marib, Taiz and Terms and Conditions",,"Ceasefire Agreement",,"national","Ceasefire",
2016,4,10,2016,4,10,"Yemeni Military Ceasefire Order (with Signature by Ansar Allah Representative)",,"Ceasefire Agreement",,"local","Ceasefire",
2016,4,16,2016,4,16,"Ta'iz Ceasefire Agreement",,"https://www.peaceagreements.org/masterdocument/1826 ","https://www.peaceagreements.org/document/2383 ","national","Ceasefire",
2016,4,17,2016,4,17,"Implementation Mechanism of the Ceasefire Agreement in the Governorate of Marib ",,"https://www.peaceagreements.org/masterdocument/2010","https://www.peaceagreements.org/document/2666","local","Ceasefire",
2016,4,21,2016,4,21,"Kuwaiti peace talks begin","بدء محادثات السلام في الكويت","Delegations in Kuwait negotiate via 'proximity talks'","تفاوض الوفود في الكويت في مفاوضات غير مباشرة",,,"political"
2016,4,26,2016,4,26,"Mukalla re-captured from AQAP","إعادة الاستيلاء على المكلا من القاعدة في شبه الجزيرة العربية","AQAP driven out of Mukalla by Emirati and Southern Resistance forces.","إخراج تنظيم القاعدة من المكلا على يد قوات إماراتية ومن قوات النخبة الحضرمية.",,,"conflict"
2016,6,6,2016,6,6,"Prisoner swap occurs","يحدث تبادل الأسرى ","Parties implement a prisoner swap.","تنفيذ الأطراف تبادل الأسرى.",,,"conflict"
2016,7,28,2016,7,28,"Supreme Political Council (SPC) formed in Sanaa","تشكيل المجلس السياسي الأعلى في صنعاء","The GPC and Ansar Allah announce the formation of a Supreme Political Council in Sanaa.","يعلن المؤتمر الشعبي العام وأنصار الله تشكيل المجلس السياسي الأعلى في صنعاء.",,,"conflict"
2016,8,6,2016,8,6,"Kuwaiti talks end","تنتهي محادثات الكويت","Kuwait talk end following deadlock.","تنتهي محادثات الكويت بعد الوصول إلى طريق مسدود",,,"conflict"
2016,8,14,2016,8,14,"First meeting of SPC in Sanaa","الاجتماع الأول للمجلس السياسي الأعلى في صنعاء","High Political Council in Sanaa meet in Sanaa's parliament building.","يجتمع المجلس السياسي الأعلى في مبنى برلمان صنعاء.",,,"conflict"
2016,8,25,2016,8,25,"Kerry Roadmap initiative announced","إعلان مبادرة كيري","US Secretary of State, John Kerry, announces a roadmap for peace talks.","يعلن وزير الخارجية الأمريكي جون كيري عن خارطة طريق لمحادثات السلام.",,,"political"
2016,10,8,2016,10,8,"Funeral airstrike in Sanaa","تستهدف غارة جوية عزاء في صنعاء","Two Coalition airstrikes hit a funeral in Sanaa, killing 155 and wounding 525.","ضربت غارتان لقوات التحالف عزاء في صنعاء مما أسفر عن مقتل 155 وإصابة 525",,,"conflict"
2016,10,19,2016,10,19,"UN calls for ceasefire","تدعو الأمم المتحدة إلى وقف إطلاق النار ","UN Special Envoy for Yemen, Ismail Ould Cheikh Ahmed calls for a 72-hour ceasefire and re-activation of the Dharan al-Janoub De-escalation and Coordination Committee.","دعا المبعوث الخاص لليمن إسماعيل ولد الشيخ أحمد إلى وقف إطلاق النار لمدة 72 ساعة وإعادة تفعيل لجنة ظهران الجنوب للتهدئة والتنسيق",,,"political"
2016,10,25,2016,10,25,"Quad roadmap initiative announced","إعلان مبادرة المجموعة الرباعية ","The 'Quad' consisting of Saudi Arabia, the UAE, UK and US, announce a new roadmap.","اعلنت المجموعة الرباعية التي تضم السعودية والإمارات والمملكة المتحدة والولايات المتحدة عن خارطة طريق جديدة.",,,"political"
2016,11,16,2016,11,16,"Statement",,"Prenegotiation Agreement",,"national","Prenegotiation",
2017,1,23,2017,1,23,"Mokha captured by pro-Hadi forces","تستولي قوات موالية لهادي على المخا","Hadi Loyalist forces seize Mokha port on the west coast.","تستولي قوات موالية لهادي على ميناء المخا على الساحل الغربي.",,,"political"
2017,1,29,2017,1,29,"Navy SEAL raid in al-Baydah","غارة تابعة للبحرية الأمريكية في البيضة","A Navy SEAL is reported killed in US raid on suspected AQAP targets in al-Baydah. The attack reportedly killed 10 Yemeni women and children.","قُتل جندي من القوات البحرية الأمريكية في غارة أمريكية على أهداف يشتبه أنها تابعة لتنظيم القاعدة في شبه الجزيرة العربية في البيضاء وأسفر الهجوم عن مقتل 10 نساء وأطفال يمنيين.",,,"political"
2017,3,18,2017,3,18,"42 Somalis killed in helicopter attack on boat","مقتل 42 صوماليا على متن قارب في هجوم بطائرة عمودية ","A helicopter gunship attacks a boat off the coast of Yemen, killing 42 Somalis.","هجوم طائرة عمودية هجومية على قارب قبالة سواحل اليمن مما أسفر عن مقتل 42 صوماليا.",,,"political"
2017,5,4,2017,5,4,"Aden Historic Declaration issued forming Southern Transitional Council","إعلان عدن التاريخي الذي شكل المجلس الانتقالي الجنوبي ","Aden Historic Declaration is read in Aden, announcing the formation of the Southern Transitional Council, by former-Governor Aydrus al-Zubaydi.","أصدر المحافظ السابق لمحافظة عدن عيدروس الزبيدي إعلان عدن التاريخي في مدينة عدن، معلنا تشكيل المجلس الانتقالي الجنوبي",,,"conflict"
2017,11,4,2017,11,4,"Missile attack on Riyadh airport","هجوم صاروخي على مطار الرياض","Ansar Allah fire missile on King Khalid International Airport in Riyadh.","أطلق أنصار الله صاروخ على مطار الملك خالد الدولي بالرياض.",,,"conflict"
2017,11,6,2017,11,6,"Humanitarian aid blocked by Arab Coalition","منع التحالف العربي المساعدات الإنسانية","Arab Coalition prevents planes carrying humanitarian aid from landing in Yemen.","التحالف العربي يمنع الطائرات التي تحمل مساعدات إنسانية من الهبوط في اليمن",,,"political"
2017,11,28,2017,11,28,"Saleh defects from Houthi-GPC alliance","ينهي صالح التحالف بين الحوثيين والمؤتمر الشعبي العام","President Saleh announces his defection from the Houthis sparking a firefight in Sanaa.","أعلن الرئيس صالح عن انشقاقه من الحوثيين مما أدى إلى نشوب معركة في صنعاء.",,,"conflict"
2017,12,4,2017,12,4,"Saleh killed","مقتل صالح","President Saleh is assassinated by Houthi gunmen in Sanaa after a three day battle.","اغتيل الرئيس صالح من قبل مسلحين من الحوثيين  في صنعاء في معركة استمرت لثلاثة أيام.",,,"conflict"
2017,12,6,2017,12,6,"Hodeidah offensive launched by Arab Coalition","بدأ هجوم الحديدة الذي أطلقه التحالف العربي ","Arab Coalition launch the offensive to re-take Hodeidah governorate.","أطلق التحالف العربي هجوم لإعادة السيطرة على محافظة الحديدة.",,,"conflict"
2017,12,21,2017,12,21,"Cholera kills at least 2,200","وباء الكوليرا يقتل اكثر من 2200 ","ICRC announces that 1 million cases of cholera have been reported since outbreak in spring 2017, with 2,200 deaths.","أعلنت اللجنة الدولية للصليب الأحمر أنه تم الإبلاغ عن مليون حالة من الكوليرا منذ تفشي المرض في ربيع عام 2017، بما في ذلك 2200 حالة وفاة.",,,"political"
2018,1,28,2018,1,28,"Firefight between Southern Transitional Council and Yemeni government","معارك بين المجلس الانتقالي الجنوبي والحكومة اليمنية","Rifts between the Southern Transitional Council and Yemeni government intensify after the STC prohibits the holding of a cabinet meeting at the Presidential Palace in Aden and demand the sacking of Prime Minister Ahmed bin Daghr. Fighting breaks out on January 28. STC-aligned forces manage to capture two military camps to the north of the city, as well as break through the initial defenses of the Presidential Palace. The Arab Coalition intervenes and mediates a ceasefire.","تصاعدت الخلافات بين المجلس الانتقالي الجنوبي والحكومة اليمنية بعد حظر المجلس الانتقالي عقد اجتماع لمجلس الوزراء في قصر الرئاسة في عدن ومطالبته بإقالة رئيس الوزراء أحمد بن دغر.  انفجر القتال في 28 يناير وتمكنت قوات متحالفة مع المجلس الانتقالي الجنوبي من إلقاء القبض على معسكرين شمال المدينة، بالإضافة إلى اختراق خط الدفاع الأول للقصر الرئاسي. تدخل التحالف العربي وتوسط لوقف إطلاق النار.",,,"political"
2018,1,18,2018,1,18,"Agreement regarding the Exchange of Prisoners, Detainees, Remains and Missing Persons",,"https://www.peaceagreements.org/masterdocument/2119  ","https://www.peaceagreements.org/document/2847","national","Ceasefire",
2018,2,18,2018,2,18,"Martin Griffiths becomes UN Special Envoy","تعيين مارتن غريفيث كمبعوث خاص للأمم المتحدة","Martin Griffiths is appointed as Secretary-General Special Envoy to Yemen.","تم تعيين مارتن غريفيث كمبعوث خاص للأمين العام لليمن.",,,"conflict"
2018,4,3,2018,4,3,"22 million Yemenis require aid","22 مليون يمني يحتاجون إلى المساعدة الانسانية","22 million Yemenis are reported as requiring humanitarian aid and 18 million are food insecure. 85,000 children have dief of hunger. ","  85000 طفل يموتوا من الجوع . مليون يمني بحاجة إلى مساعدات إنسانية وأن 18 مليوناً يعانون من انعدام الأمن الغذائي",,,"political"
2018,4,30,2018,4,30,"UAE takes Socotra Island","دولة الإمارات العربية المتحدة تأخذ جزيرة سقطرى","UAE take Socotra Island","تأخذ الإمارات العربية المتحدة جزيرة سقطرى",,,"political"
2018,7,3,2018,7,3,"Arab Coalition bomb wedding","يقصف التحالف العربي حفل زفاف","Arab Coalition airstrike hits a wedding in Sadaa killing 8.","تضرب غارة جوية للتحالف العربي حفل زفاف في صعدة وتقتل 8 أشخاص.",,,"political"
2018,7,25,2018,7,25,"Bab al-Mandeb shipping suspended","تعليق الشحن عبر باب المندب","Shipping suspending in Bab al-Mandeb following a Houthi attack on two Saudi National Shipping Corporation Tankers.","توقيف الشحن في باب المندب إثر هجوم الحوثيين على ناقلتين تابعتين لشركة الملاحة الوطنية السعودية.",,,"conflict"
2018,8,9,2018,8,9,"Arab Coalition strikes school bus","يقصف التحالف العربي حافلة مدرسية","Coalition airstrike in Sadaa hits bus killing 51, including children.","تضرب غارة جوية للتحالف العربي حافلة في صعدة تضرب وتقتل 51 شخصا بينهم أطفال.",,,"conflict"
2018,9,6,2018,9,6,"Geneva Consultations cancelled","تم إلغاء مشاورات جنيف","Geneva consultations were scheduled, however, Houthi delegation didn’t arrive as they demanded members of their group be transported to Oman for medical treatment. ","كان من المقرر إجراء مشاورات في جنيف ، ولكن وفد الحوثي لم يصل لأنهم طالبوا بنقل أعضاء مجموعتهم إلى عُمان للعلاج الطبي.",,,"political"
2018,11,18,2018,11,18,"Rasha Jarhum addresses the UNSC regarding Women's demands  and their inclusion in the peace process","رشا جرهوم تخاطب مجلس الأمن بشأن مطالب المرأة وإدماجها في عملية السلام","irector of Peace Track Initiative and founding member of the Women Solidarity Network connecting 250 women inside and outside of Yemen"," رئيسة مبادرة مسار السلام وعضوة مؤسسة في شبكة التضامن النسوي بربط 250 امرأة داخل وخارج اليمن",,,"political"
2018,12,6,2018,12,6,"Stockholm peace talks begin","تبدأ محادثات ستوكهولم للسلام","Talks begin in Stockholm Sweden, resulting in preliminary agreements on the situations of Taiz and Hodeidah as well as a prisoner release","تبدأ المحادثات في ستوكهولم في السويد وأدت إلى اتفاقات مبدئية على حالات تعز والحديدة وكذلك الإفراج عن السجناء",,,"political"
2018,12,13,2018,12,13,"Stockholm Agreement","اتفاق ستوكهولم","Prenegotiation Agreement","اتفاق المفاوضات التمهيدية","local","Prenegotiation",
2018,12,13,2018,12,13,"Agreement on the City of Hodeidah and Ports of Hodeidah, Salif, and Ras Isa (Hodeidah Agreement)","اتفاق حول مدينة الحديدة موانئ الحديدة والصليف ورأس عيسى","Ceasefire Agreement","اتفاق وقف إطلاق النار","national","Ceasefire",
2018,12,13,2018,12,13,"Statement of Understanding on Ta'iz","اعلان تفاهمات حول تعز","Prenegotiation Agreement","اتفاق المفاوضات التمهيدية","national","Prenegotiation",
2018,12,17,2018,12,17,"Agreement for the exchange prisoners, detainees, missing persons, arbitrarily detained and forcibly disappeared persons, and those under house arrest",,"Prenegotiation Agreement",,"local","Prenegotiation",
2018,12,18,2018,12,18,"Hodeidah ceasefire comes into effect","يبدأ سريان وقف إطلاق في الحديدة","Ceasefire comes into effect for Hodeidah. On December 22, a UN task team is deployed to the city.","يبدأ سريان وقف إطلاق النار في الحديدة وفي 22 ديسمبر، يصل فريق عمل تابع للأمم المتحدة إلى المدينة",,,"political"
2019,1,16,2019,1,16,"UN Security Council Resolution 2452","قرار مجلس الأمن 2452","United Nations Mission to support the Hodeidah Agreement (UNMHA) — with an initial mandate of six months — will lead and support the Redeployment Coordination Commission tasked with overseeing the ceasefire, redeployment of forces and mine action operations","بعثة الأمم المتحدة لدعم اتفاق الحديدة (UNMHA) - بولاية لمدة 6 أشهر - ستقود وتدعم لجنة تنسيق إعادة الانتشار المكلفة بالإشراف على وقف إطلاق النار ، وإعادة نشر القوات وعمليات إزالة الألغام.","national","Ceasefire",
2019,4,14,2019,4,14,"Decleration of the National Alliance of Yemeni Political Parties ","اشهار التحالف الوطني للقوى والأحزاب السياسية اليمنية ـ سيئون","A government-led effort to counter the Southern Transitional Council ","جهود الحكومة لمواجهة المجلس الانتقالي الجنوبي",,,"conflict"
2019,4,15,2019,4,15,"Muna Luqman, chairperson of Food4Humanity, co-founding member of the Women Solidarity Network, and partner of the Peace Track Initiative,briefs the UN Security Council today on Yemen","قدمت منى لقمان، رئيسة منظمة ويطعمون، وعضوة مؤسسة لشبكة التضامن النسوي، وشريكة مبادرة مسار السلام، إحاطة لمجلس الأمن عن الوضع في اليمن،","part of national and international efforts to include Women's voices in the peace process","جزء من الجهود الوطنية والدولية لإدراج أصوات النساء في عملية السلام",,,"political"
